Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,30.830000,31.830000,30.830000,31.379999,31.379999,5311600
2013-10-02,31.719999,32.070000,30.860001,30.930000,30.930000,5802800
2013-10-03,31.040001,31.670000,30.650000,31.650000,31.650000,3631600
2013-10-04,31.610001,32.040001,31.320000,31.740000,31.740000,3257500
2013-10-07,31.670000,31.670000,30.959999,30.969999,30.969999,2840700
2013-10-08,31.100000,31.150000,29.930000,30.240000,30.240000,3626500
2013-10-09,30.370001,30.610001,29.709999,30.080000,30.080000,3182600
2013-10-10,30.480000,30.700001,30.030001,30.120001,30.120001,4193100
2013-10-11,30.180000,30.360001,30.040001,30.120001,30.120001,2859200
2013-10-14,29.959999,30.040001,29.389999,29.920000,29.920000,3288400
2013-10-15,29.900000,30.200001,29.469999,29.650000,29.650000,3083300
2013-10-16,29.850000,29.959999,29.110001,29.950001,29.950001,6362600
2013-10-17,29.920000,31.270000,29.910000,31.150000,31.150000,5740000
2013-10-18,31.370001,31.459999,30.840000,30.920000,30.920000,2611800
2013-10-21,30.900000,31.280001,30.379999,30.570000,30.570000,2297800
2013-10-22,31.000000,31.700001,30.870001,31.180000,31.180000,3673500
2013-10-23,31.190001,31.600000,30.920000,30.950001,30.950001,3377900
2013-10-24,30.719999,32.110001,29.629999,31.299999,31.299999,9375700
2013-10-25,30.719999,31.780001,30.139999,31.170000,31.170000,7961200
2013-10-28,31.270000,32.279999,31.150000,32.119999,32.119999,6961100
2013-10-29,32.349998,34.099998,32.310001,33.910000,33.910000,9589000
2013-10-30,34.029999,34.340000,32.750000,33.910000,33.910000,5400600
2013-10-31,33.820000,34.130001,33.250000,33.950001,33.950001,4739500
2013-11-01,33.950001,35.570000,33.880001,35.540001,35.540001,7567400
2013-11-04,35.570000,36.799999,35.450001,35.849998,35.849998,6870300
2013-11-05,35.959999,35.959999,34.990002,35.520000,35.520000,4181400
2013-11-06,35.799999,35.959999,34.340000,34.490002,34.490002,4212300
2013-11-07,34.660000,35.009998,33.889999,33.990002,33.990002,4015400
2013-11-08,33.639999,35.619999,33.610001,35.360001,35.360001,7082200
2013-11-11,35.410000,35.590000,34.959999,35.310001,35.310001,3925400
2013-11-12,35.400002,37.820000,35.400002,36.790001,36.790001,12914800
2013-11-13,36.810001,36.860001,35.650002,36.020000,36.020000,5910300
2013-11-14,36.099998,37.029999,36.099998,36.500000,36.500000,3734300
2013-11-15,36.480000,36.889999,36.470001,36.730000,36.730000,3667800
2013-11-18,36.919998,37.299999,36.119999,36.380001,36.380001,5135800
2013-11-19,37.840000,38.910000,37.490002,37.799999,37.799999,16471200
2013-11-20,38.080002,38.099998,37.099998,37.270000,37.270000,5437900
2013-11-21,37.049999,37.740002,36.970001,37.110001,37.110001,3059100
2013-11-22,37.970001,38.790001,37.470001,38.540001,38.540001,8035500
2013-11-25,38.970001,40.189999,38.799999,39.830002,39.830002,8408300
2013-11-26,39.840000,39.849998,38.810001,39.049999,39.049999,6382400
2013-11-27,39.240002,39.660000,39.080002,39.430000,39.430000,3707600
2013-11-29,39.580002,39.700001,39.000000,39.250000,39.250000,1559400
2013-12-02,39.310001,39.619999,38.419998,38.560001,38.560001,3604300
2013-12-03,38.419998,38.669998,37.040001,37.169998,37.169998,5863400
2013-12-04,36.939999,37.580002,36.750000,37.570000,37.570000,4493100
2013-12-05,37.509998,37.740002,36.730000,36.790001,36.790001,3489100
2013-12-06,37.180000,37.459999,36.570000,36.740002,36.740002,4188500
2013-12-09,36.680000,37.720001,36.650002,37.549999,37.549999,5377800
2013-12-10,37.660000,38.169998,37.500000,37.639999,37.639999,5056000
2013-12-11,37.570000,38.130001,36.450001,36.580002,36.580002,5656500
2013-12-12,36.389999,37.930000,36.389999,37.619999,37.619999,5804500
2013-12-13,37.950001,38.880001,37.889999,38.529999,38.529999,4385900
2013-12-16,38.740002,39.000000,38.369999,38.470001,38.470001,2869800
2013-12-17,38.480000,38.490002,37.209999,37.310001,37.310001,3672600
2013-12-18,37.360001,37.549999,36.509998,37.290001,37.290001,3712600
2013-12-19,37.419998,37.689999,36.639999,37.270000,37.270000,2399300
2013-12-20,37.310001,37.520000,36.770000,37.389999,37.389999,4257900
2013-12-23,37.560001,37.830002,36.900002,36.980000,36.980000,3391300
2013-12-24,36.959999,37.830002,36.700001,37.599998,37.599998,2473300
2013-12-26,37.910000,38.330002,37.610001,38.070000,38.070000,2518600
2013-12-27,38.070000,38.110001,36.560001,36.779999,36.779999,3615200
2013-12-30,36.880001,37.430000,36.790001,37.299999,37.299999,2581000
2013-12-31,37.430000,37.900002,37.349998,37.830002,37.830002,2115500
2014-01-02,37.700001,38.130001,37.500000,37.730000,37.730000,2228400
2014-01-03,38.439999,40.150002,38.209999,39.950001,39.950001,7080400
2014-01-06,40.110001,40.500000,39.139999,39.360001,39.360001,4640000
2014-01-07,39.580002,39.980000,38.450001,38.689999,38.689999,4528400
2014-01-08,39.000000,41.060001,38.650002,41.020000,41.020000,7799500
2014-01-09,44.130001,46.189999,43.709999,43.799999,43.799999,24475700
2014-01-10,44.070000,45.750000,44.009998,45.080002,45.080002,12481600
2014-01-13,45.310001,45.900002,44.340000,44.599998,44.599998,5528200
2014-01-14,44.810001,46.779999,44.750000,46.750000,46.750000,8855400
2014-01-15,46.500000,46.770000,45.509998,46.500000,46.500000,8506200
2014-01-16,46.080002,47.240002,46.040001,47.209999,47.209999,4673500
2014-01-17,47.299999,47.860001,46.419998,47.070000,47.070000,5887000
2014-01-21,47.549999,47.919998,46.889999,47.910000,47.910000,7026800
2014-01-22,47.900002,49.200001,47.869999,49.180000,49.180000,6962400
2014-01-23,48.099998,48.740002,47.000000,48.430000,48.430000,11049800
2014-01-24,48.090000,48.230000,45.680000,46.130001,46.130001,10894800
2014-01-27,46.139999,46.970001,43.880001,45.270000,45.270000,7611000
2014-01-28,45.349998,46.830002,45.349998,46.029999,46.029999,6293800
2014-01-29,45.540001,46.720001,45.099998,45.430000,45.430000,5199100
2014-01-30,45.970001,46.750000,45.759998,46.430000,46.430000,4301600
2014-01-31,46.290001,46.509998,45.820000,45.840000,45.840000,4731400
2014-02-03,45.910000,45.959999,43.250000,43.820000,43.820000,9528000
2014-02-04,44.169998,44.369999,43.509998,43.970001,43.970001,5430200
2014-02-05,43.490002,44.020000,42.959999,43.610001,43.610001,4482100
2014-02-06,43.639999,45.930000,43.639999,45.029999,45.029999,4084100
2014-02-07,45.029999,46.009998,44.880001,45.540001,45.540001,3331400
2014-02-10,45.450001,45.840000,44.459999,45.110001,45.110001,2780500
2014-02-11,45.430000,45.430000,43.299999,44.009998,44.009998,6444100
2014-02-12,44.060001,44.720001,43.349998,44.490002,44.490002,4867700
2014-02-13,43.990002,45.139999,43.680000,45.099998,45.099998,3665800
2014-02-14,45.020000,45.070000,44.180000,44.500000,44.500000,3373200
2014-02-18,44.470001,44.810001,43.580002,43.660000,43.660000,5539200
2014-02-19,43.529999,43.840000,43.070000,43.279999,43.279999,4052600
2014-02-20,43.330002,45.849998,43.330002,45.689999,45.689999,5218200
2014-02-21,45.459999,46.730000,45.360001,45.599998,45.599998,4131300
2014-02-24,45.639999,46.540001,45.250000,46.099998,46.099998,3347800
2014-02-25,46.889999,48.450001,46.650002,47.259998,47.259998,6162700
2014-02-26,47.250000,47.540001,46.419998,46.810001,46.810001,3399200
2014-02-27,46.810001,47.349998,46.419998,46.509998,46.509998,3054000
2014-02-28,45.220001,45.950001,44.740002,44.959999,44.959999,9394500
2014-03-03,44.259998,44.259998,43.380001,44.009998,44.009998,4780200
2014-03-04,44.730000,45.500000,44.730000,45.240002,45.240002,3811700
2014-03-05,45.419998,47.380001,45.360001,47.099998,47.099998,4926600
2014-03-06,47.590000,48.849998,47.580002,47.980000,47.980000,6104200
2014-03-07,48.220001,48.500000,46.970001,47.750000,47.750000,2848000
2014-03-10,47.709999,49.180000,46.410000,46.660000,46.660000,4580200
2014-03-11,46.630001,47.130001,45.919998,46.200001,46.200001,2994800
2014-03-12,45.990002,46.570000,45.570000,45.939999,45.939999,3210000
2014-03-13,46.180000,46.230000,44.500000,44.930000,44.930000,3632000
2014-03-14,44.689999,45.430000,44.180000,44.400002,44.400002,4864800
2014-03-17,44.980000,45.939999,44.470001,45.639999,45.639999,4947700
2014-03-18,45.639999,46.939999,45.160000,45.220001,45.220001,4338000
2014-03-19,45.200001,45.500000,44.380001,44.669998,44.669998,3595600
2014-03-20,44.470001,45.380001,44.099998,45.230000,45.230000,3493100
2014-03-21,45.430000,45.470001,43.840000,44.330002,44.330002,6295800
2014-03-24,45.029999,45.259998,43.650002,44.450001,44.450001,4280300
2014-03-25,44.680000,45.500000,44.500000,45.200001,45.200001,3210900
2014-03-26,45.480000,45.680000,44.130001,44.130001,44.130001,3311400
2014-03-27,44.000000,44.080002,42.849998,43.889999,43.889999,3501100
